GID,PRCL_KEY,PRCL_TYPE,LSTATUS,WSTATUS,GEOM_AREA,COMMENTS,TAG_X,TAG_Y,TAG_VALUE,TAG_SIZE,TAG_ANGLE,TAG_JUST,ID,DATE_STAMP,PROVINCE,MAJ_REGION,MAJ_CODE,MIN_REGION,MIN_CODE,PARCEL_NO,PORTION,SS_NAME,DSG_NO,SR_NO,SS_NO
433808,E124C038004200000768000000,E,S,C,296.940000,,27.148229,-32.680666,"768",0.000020,0.000000,MC,C03800420000076800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,768,0,,,,
433809,E124C038004200000769000000,E,S,C,470.840000,,27.148079,-32.680744,"769",0.000020,0.000000,MC,C03800420000076900000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,769,0,,,,
433812,E124C038004200000772000000,E,S,C,424.030000,,27.147562,-32.680912,"772",0.000020,0.000000,MC,C03800420000077200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,772,0,,,,
433814,E124C038004200000774000000,E,S,C,388.680000,,27.147305,-32.680761,"774",0.000020,0.000000,MC,C03800420000077400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,774,0,,,,
433815,E124C038004200000775000000,E,S,C,425.440000,,27.147466,-32.680702,"775",0.000020,0.000000,MC,C03800420000077500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,775,0,,,,
433817,E124C038004200001223000000,E,S,C,309.960000,,27.137507,-32.682749,"1223",0.000020,0.000000,MC,C03800420000122300000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1223,0,,,,
433818,E124C038004200001224000000,E,S,C,309.970000,,27.137355,-32.682804,"1224",0.000020,0.000000,MC,C03800420000122400000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1224,0,,,,
433821,E124C038004200001227000000,E,S,C,309.960000,,27.136899,-32.682969,"1227",0.000020,0.000000,MC,C03800420000122700000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1227,0,,,,
433823,E124C038004200001229000000,E,S,C,309.950000,,27.136596,-32.683079,"1229",0.000020,0.000000,MC,C03800420000122900000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1229,0,,,,
433824,E124C038004200001230000000,E,S,C,381.940000,,27.136424,-32.683138,"1230",0.000020,0.000000,MC,C03800420000123000000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1230,0,,,,
433826,E124C038004200001232000000,E,S,C,309.960000,,27.136512,-32.682914,"1232",0.000020,0.000000,MC,C03800420000123200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1232,0,,,,
433829,E124C038004200001235000000,E,S,C,309.970000,,27.136967,-32.682748,"1235",0.000020,0.000000,MC,C03800420000123500000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1235,0,,,,
433830,E124C038004200001236000000,E,S,C,309.960000,,27.137119,-32.682693,"1236",0.000020,0.000000,MC,C03800420000123600000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1236,0,,,,
433832,E124C038004200001238000000,E,S,C,309.970000,,27.137423,-32.682583,"1238",0.000020,0.000000,MC,C03800420000123800000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1238,0,,,,
433833,E124C038004200001239000000,E,S,C,309.970000,,27.137575,-32.682528,"1239",0.000020,0.000000,MC,C03800420000123900000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1239,0,,,,
433836,E124C038004200001242000000,E,S,C,309.940000,,27.138030,-32.682363,"1242",0.000020,0.000000,MC,C03800420000124200000,2009/08/19,EASTERN CAPE,KING WILLIAMS TOWN,C0380000,KEISKAMMAHOEK,C0380042,1242,0,,,,
